Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsión,Petróleo reconstituido,Total importación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug/2009,0.00,"7,442.00","454,739.68",0.00,0.00,0.00,0.00,"151,179.48","3,389.70","210,495.68","476,525.36",0.00,"68,002.40",0.00,0.00,0.00,0.00,0.00,0.00,"842,742.17",0.00,0.00,0.00,"2,214,516.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep/2009,0.00,"6,757.00","417,863.18",0.00,0.00,0.00,0.00,"265,512.40",186.30,"161,783.68","321,728.95",0.00,"48,160.70",0.00,0.00,"165,190.91",0.00,0.00,0.00,"611,966.22",0.00,0.00,0.00,"1,999,149.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct/2009,0.00,"7,998.00","547,485.85",0.00,0.00,0.00,0.00,"294,299.57",187.00,"375,067.23","639,524.61",0.00,"53,069.80",0.00,0.00,0.00,0.00,0.00,0.00,"869,366.31",0.00,0.00,0.00,"2,786,998.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov/2009,0.00,"6,446.00","762,745.04",0.00,0.00,0.00,0.00,"543,498.52","4,171.90","201,213.10","321,859.44",0.00,"42,081.90",0.00,0.00,"148,528.88",0.00,0.00,0.00,"894,309.88",0.00,0.00,0.00,"2,924,854.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec/2009,0.00,"5,081.00","444,330.26",0.00,0.00,0.00,0.00,"121,256.64",0.00,"291,525.48","435,416.18",0.00,"31,007.80",0.00,0.00,"144,490.01",0.00,0.00,0.00,"1,144,960.66",0.00,0.00,0.00,"2,618,068.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/2010,0.00,"7,549.00","407,232.90",0.00,0.00,0.00,0.00,"437,042.33",0.00,"173,918.35","318,949.72",0.00,"69,541.70",0.00,0.00,0.00,0.00,0.00,0.00,"905,803.65",0.00,0.00,0.00,"2,320,037.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/2010,0.00,"10,200.00","393,505.01",0.00,0.00,0.00,0.00,"410,846.40","3,584.00","336,005.72","492,452.55",0.00,"62,958.80",0.00,0.00,0.00,0.00,0.00,0.00,"447,271.92",0.00,0.00,0.00,"2,156,824.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/2010,0.00,"11,286.10","380,305.39",0.00,0.00,0.00,0.00,"148,495.38",0.00,"157,798.77","303,762.94",0.00,"33,008.70",0.00,0.00,"149,642.96",0.00,0.00,0.00,"947,702.88",0.00,0.00,0.00,"2,132,003.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr/2010,0.00,"12,568.70","593,178.80",0.00,0.00,0.00,0.00,"410,001.10",0.00,"433,108.23","562,996.07",0.00,"42,911.90",0.00,0.00,"165,852.23",0.00,0.00,0.00,"613,011.21",0.00,0.00,0.00,"2,833,628.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/2010,0.00,"6,994.10","349,801.70",0.00,0.00,0.00,0.00,"230,584.60","3,139.00","279,926.95","429,729.38",0.00,"59,512.70",0.00,0.00,"164,467.77",0.00,0.00,0.00,"1,086,036.16",0.00,0.00,0.00,"2,610,192.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun/2010,0.00,"2,940.00","117,297.20",0.00,0.00,0.00,0.00,"344,683.10",0.00,"281,834.46","464,310.80",0.00,"58,930.10",0.00,0.00,0.00,0.00,0.00,0.00,"587,828.26",0.00,0.00,0.00,"1,857,823.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul/2010,0.00,"4,133.00","411,546.82",0.00,0.00,0.00,0.00,"461,977.95","3,178.00","241,994.24","456,588.39",0.00,"40,989.80",0.00,0.00,"145,426.27",0.00,0.00,0.00,"712,889.93",0.00,0.00,0.00,"2,478,724.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug/2010,0.00,"2,082.00","212,442.70",0.00,0.00,0.00,0.00,"236,164.31",0.00,"282,509.24","475,714.12",0.00,"65,212.00",0.00,0.00,0.00,0.00,0.00,0.00,"637,252.29",0.00,0.00,0.00,"1,911,376.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep/2010,0.00,"4,161.00","135,187.00",0.00,0.00,0.00,0.00,"144,381.79",0.00,"208,796.02","321,134.56",0.00,"15,663.50",0.00,0.00,0.00,0.00,0.00,0.00,"741,721.42",0.00,0.00,0.00,"1,571,045.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct/2010,0.00,"5,352.00","301,559.20",0.00,0.00,0.00,0.00,"328,472.60","3,161.00","392,100.62","493,794.29",0.00,"43,634.60",0.00,0.00,0.00,0.00,0.00,0.00,"630,692.56",0.00,0.00,0.00,"2,198,766.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov/2010,0.00,"7,402.00","331,749.27",0.00,0.00,0.00,0.00,"540,671.88",0.00,"139,547.73","241,062.76",0.00,"56,430.00",0.00,0.00,0.00,0.00,0.00,0.00,"565,627.54",0.00,0.00,0.00,"1,882,491.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec/2010,0.00,"4,246.50","162,229.50",0.00,0.00,0.00,0.00,"286,501.74","2,308.00","430,857.95","652,210.77",0.00,"44,591.60",0.00,0.00,0.00,0.00,0.00,0.00,"1,135,293.92",0.00,0.00,0.00,"2,718,239.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/2011,0.00,"5,497.36","263,229.32",0.00,0.00,0.00,0.00,"511,518.14",0.00,"253,700.82","391,997.54",0.00,"69,631.10",0.00,0.00,"166,651.76",0.00,0.00,0.00,"1,033,948.69",0.00,0.00,0.00,"2,696,174.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/2011,0.00,"7,033.00","423,634.90",0.00,0.00,0.00,0.00,"313,877.17","2,351.00","343,582.85","437,769.48",0.00,"43,055.90",0.00,0.00,"164,990.32",0.00,0.00,0.00,"772,775.58",0.00,0.00,0.00,"2,509,070.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/2011,0.00,"10,007.90","138,202.10",0.00,0.00,0.00,0.00,"297,190.31",0.00,"291,087.16","445,920.27",0.00,"33,888.80",0.00,0.00,0.00,0.00,0.00,0.00,"707,536.31",0.00,0.00,0.00,"1,923,832.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr/2011,0.00,"5,721.79","652,855.72",0.00,0.00,0.00,0.00,"426,380.21",0.00,"326,003.71","357,349.67",0.00,"46,347.00",0.00,0.00,"209,682.55",0.00,0.00,0.00,"767,445.36",0.00,0.00,0.00,"2,791,786.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
